Date,Close,High,Low,Open,Volume
2024-01-03,139.85748291015625,140.5848651026956,137.93438480135126,138.10378954601114,18974300.0
2024-01-04,137.5457763671875,140.1314868491893,137.51588499085352,139.3493088962382,18253300.0
2024-01-05,136.8981170654297,138.3130313709,136.3600570579476,137.8566785176243,15433200.0
2024-01-08,140.02687072753906,140.13647751170933,137.386364387291,137.50592989578246,17645300.0
2024-01-09,142.04959106445312,142.2887372677432,139.28950421759316,139.5585417957747,19579700.0
2024-01-10,143.28517150878906,144.00756674748428,141.94997261434466,142.00975537019147,16641900.0
2024-01-11,143.15562438964844,146.13492493087236,141.7058318214897,144.37624467130036,17471100.0
2024-01-12,143.7235870361328,144.22179690011865,142.84673281018704,143.8232198864349,13995200.0
2024-01-16,143.5641632080078,145.31785654097203,142.54382728921,142.9164812308532,19198900.0
2024-01-17,142.37841796875,142.89656049773194,140.0069340901008,142.3983506209844,17884500.0
2024-01-18,144.4709014892578,145.06377244232667,142.83677374742865,142.92644787373524,18876800.0
2024-01-19,147.44021606445312,147.50995753343074,145.2779872596324,145.78116884145362,27170900.0
2024-01-22,147.18118286132812,149.47792331957857,147.05164341538418,148.17760271219467,21829200.0
2024-01-23,148.14768981933594,148.3270532910163,146.66303403543785,147.19113531757282,14113600.0
2024-01-24,149.8117218017578,151.0273551642729,149.30353797719988,149.75192384274672,19245000.0
2024-01-25,153.08993530273438,154.20592059764948,150.6786012452732,151.1967437911235,21495100.0
2024-01-26,153.23939514160156,153.5582567772408,152.25294926518188,152.3226907453782,19494500.0
2024-01-29,154.28564453125,154.64435628217598,152.3725202610316,153.08994376288354,20909300.0
2024-01-30,152.50205993652344,154.4849256924498,152.22803535733792,153.45861447100043,26578900.0
2024-01-31,141.29232788085938,145.06875215819224,141.04322293579585,144.86947124297328,43908600.0
2024-02-01,142.19908142089844,144.10223175163364,141.75068033157373,143.1755686025707,25526900.0
2024-02-02,143.0260772705078,143.36487152419457,137.6753083385205,140.3855711430663,42116900.0
2024-02-05,144.41111755371094,146.14489351807975,143.39478028191945,143.5243045199949,29254400.0
2024-02-06,144.88938903808594,146.21462903442645,144.00257613276426,145.4374229018595,21517700.0
2024-02-07,146.1548309326172,146.47369252727088,144.69010799516954,145.5968383461309,21436100.0
2024-02-08,146.6929168701172,147.08151996460657,145.895778028966,146.44381193251738,18241300.0
2024-02-09,149.6821746826172,150.1554801411711,146.9021550913949,147.42029761378677,21877700.0
2024-02-12,148.197509765625,150.05085116638458,148.0281202273602,149.00460735554043,17236100.0
2024-02-13,145.84596252441406,147.50998178033353,144.59047903903283,145.54704874515164,18138500.0
2024-02-14,146.6132049560547,147.3007370328639,145.03387292424227,146.84237724693804,16651800.0
2024-02-15,143.42466735839844,144.24172368204728,141.37204501861007,143.9428099076388,26724300.0
2024-02-16,141.25245666503906,143.96271957026013,141.01332565844572,143.69369718784262,21849700.0
2024-02-20,141.6908721923828,142.8158277957992,140.29589075416882,140.43538889799024,18625600.0
2024-02-21,143.32501220703125,143.4645103629072,141.40192940073,142.12931155607183,16499600.0
2024-02-22,144.7997283935547,145.67656745304808,143.49440572228687,145.59685204688338,23024700.0
2024-02-23,144.7698211669922,145.43244882596153,144.27161128380402,144.45097474791444,14519400.0
